Accuracy,Ratio,model,datasets
0.590334525653934,0.396545397792589,Banksy,DLPFC_sample3
0.618120310086897,0.266451784446142,CellCharter,DLPFC_sample3
0.204401460812255,1.80978351325312,CN,DLPFC_sample3
0.758114477657227,0.150396950029437,GraphST,DLPFC_sample3
0.84945446822856,0.0950036667309352,GraphSTwithPASTE,DLPFC_sample3
0.346517522728476,1.29363379409396,MENDER,DLPFC_sample3
NA,NA,NicheCompass,DLPFC_sample3
0.501693285060548,0.394401321962053,Spado,DLPFC_sample3
0.758761708123372,0.150534644617915,unCorrect,DLPFC_sample3
0.2817053119866,1.0729833267618,Banksy,MERFISH
0.282071852104061,1.4716395694167,CellCharter,MERFISH
0.61929297376161,0.763556317881303,CN,MERFISH
0.211485751771702,1.28314851287347,GraphST,MERFISH
0.722457939629714,0.623830033020471,GraphSTwithPASTE,MERFISH
0.255534811532225,1.05867591502212,MENDER,MERFISH
0.326732050700145,1.19565422674823,NicheCompass,MERFISH
0.263206771865544,0.908624805935721,Spado,MERFISH
0.232804189003078,10.6576987187358,unCorrect,MERFISH
0.149156540019484,1.34620949357318,Banksy,MERFISH_Brain_S3
0.411885350971645,1.15008928511271,CellCharter,MERFISH_Brain_S3
0.130492744705943,1.46718257910973,CN,MERFISH_Brain_S3
0.63108239757986,0.981259142219479,GraphST,MERFISH_Brain_S3
0.65989847715736,0.923575142785662,GraphSTwithPASTE,MERFISH_Brain_S3
0.144131672050454,1.17659797837553,MENDER,MERFISH_Brain_S3
0.568476644618777,1.02816087911852,NicheCompass,MERFISH_Brain_S3
0.199815413013383,11.9294803446486,Spado,MERFISH_Brain_S3
0.199815413013383,11.9294803446486,unCorrect,MERFISH_Brain_S3
0.207722740482651,3.02933489248774,Banksy,BaristaSeq
0.807483983879514,0.781953605032523,CellCharter,BaristaSeq
0.176641030169714,1.23341476900064,CN,BaristaSeq
0.980859331096161,0.59271891901878,GraphST,BaristaSeq
0.97194473434916,0.58352034485112,GraphSTwithPASTE,BaristaSeq
0.727173295226474,1.06577933761353,MENDER,BaristaSeq
0.501447471941683,1.07450745422984,NicheCompass,BaristaSeq
0.174295370979914,2.84901123303358,Spado,BaristaSeq
0.980780494853968,0.583580165216805,unCorrect,BaristaSeq
0.28488715794086,2.05177256482611,Banksy,STARMap
0.575263648190245,1.38501223113288,CellCharter,STARMap
0.333098858678776,1.99008282935699,CN,STARMap
0.824097838397172,0.683366109605335,GraphST,STARMap
0.840227702954109,0.673424636088841,GraphSTwithPASTE,STARMap
NA,NA,MENDER,STARMap
0.788891333219265,0.836252711695037,NicheCompass,STARMap
0.304891738797046,2.28018731473225,Spado,STARMap
0.824572672205338,0.662511454862254,unCorrect,STARMap
