Accuracy,Accuracy_sd,Ratio,Ratio_sd,model,datasets
0.590334525653934,0.10348395683494,0.396545397792589,0.221883885683409,Banksy,DLPFC_sample3
0.618120310086897,0.0970554890858009,0.266451784446142,0.111915497488677,CellCharter,DLPFC_sample3
0.204401460812255,0.0971204811330329,1.80978351325312,1.31763077866063,CN,DLPFC_sample3
0.758114477657227,0.0679723995722029,0.150396950029437,0.09280754322375,GraphST,DLPFC_sample3
0.84945446822856,0.0213264634713703,0.0950036667309352,0.0520422152161755,GraphSTwithPASTE,DLPFC_sample3
0.346517522728476,0.226444882266775,1.29363379409396,0.945408856986601,MENDER,DLPFC_sample3
NA,NA,NA,NA,NicheCompass,DLPFC_sample3
0.501693285060548,0.0869324182799985,0.394401321962053,0.0642221754218631,Spado,DLPFC_sample3
0.758761708123372,0.0674005553743687,0.150534644617915,0.0925795347760788,unCorrect,DLPFC_sample3
0.2817053119866,0.0645914973773624,1.0729833267618,0.0921168745200398,Banksy,MERFISH
0.282071852104061,0.164867658452016,1.4716395694167,0.509857048382003,CellCharter,MERFISH
0.61929297376161,0.0255428780539714,0.763556317881303,0.0431182522022994,CN,MERFISH
0.211485751771702,0.111423689997567,1.28314851287347,0.447459766805805,GraphST,MERFISH
0.722457939629714,0.0227527998719602,0.623830033020471,0.0225352809544586,GraphSTwithPASTE,MERFISH
0.255534811532225,0.181393430580961,1.05867591502212,0.269072375536529,MENDER,MERFISH
0.326732050700145,0.138576364565353,1.19565422674823,0.32163247499397,NicheCompass,MERFISH
0.263206771865544,0.06279488436358,0.908624805935721,0.0913925017813749,Spado,MERFISH
0.232804189003078,0.207476746815578,10.6576987187358,1.59306080441802,unCorrect,MERFISH
0.149156540019484,0,1.34620949357318,0,Banksy,MERFISH_Brain_S3
0.411885350971645,0,1.15008928511271,0,CellCharter,MERFISH_Brain_S3
0.130492744705943,0,1.46718257910973,0,CN,MERFISH_Brain_S3
0.63108239757986,0,0.981259142219479,0,GraphST,MERFISH_Brain_S3
0.65989847715736,0,0.923575142785662,0,GraphSTwithPASTE,MERFISH_Brain_S3
0.144131672050454,0,1.17659797837553,0,MENDER,MERFISH_Brain_S3
0.568476644618777,0,1.02816087911852,0,NicheCompass,MERFISH_Brain_S3
0.199815413013383,0,11.9294803446486,0,Spado,MERFISH_Brain_S3
0.199815413013383,0,11.9294803446486,0,unCorrect,MERFISH_Brain_S3
0.207722740482651,0.196805502537352,3.02933489248774,1.15496719960025,Banksy,BaristaSeq
0.807483983879514,0.1469048653842,0.781953605032523,0.0229200034444059,CellCharter,BaristaSeq
0.176641030169714,0.0877484081206686,1.23341476900064,0.170130865874762,CN,BaristaSeq
0.980859331096161,0.000751601112932583,0.59271891901878,0.199338190834936,GraphST,BaristaSeq
0.97194473434916,0.000200048513743762,0.58352034485112,0.219003646202022,GraphSTwithPASTE,BaristaSeq
0.727173295226474,0.194687849371429,1.06577933761353,0.438078089474666,MENDER,BaristaSeq
0.501447471941683,0.342849319154108,1.07450745422984,0.107366788594885,NicheCompass,BaristaSeq
0.174295370979914,0.00352435071716778,2.84901123303358,0.353339651075586,Spado,BaristaSeq
0.980780494853968,0.00121459648129149,0.583580165216805,0.197363685935022,unCorrect,BaristaSeq
0.28488715794086,0.0591120085257764,2.05177256482611,0.0240042985026351,Banksy,STARMap
0.575263648190245,0.072191535043777,1.38501223113288,0.286666046243528,CellCharter,STARMap
0.333098858678776,0.0614479126107505,1.99008282935699,0.272896678321223,CN,STARMap
0.824097838397172,0.0896810487476866,0.683366109605335,0.0163806236844085,GraphST,STARMap
0.840227702954109,0.0560847434071574,0.673424636088841,0.00540557942879638,GraphSTwithPASTE,STARMap
NA,NA,NA,NA,MENDER,STARMap
0.788891333219265,0.088240713260926,0.836252711695037,0.0654235114221674,NicheCompass,STARMap
0.304891738797046,0.0415655215515018,2.28018731473225,0.0668251486498889,Spado,STARMap
0.824572672205338,0.0890095323363036,0.662511454862254,0.00226288440497618,unCorrect,STARMap
