ARI_Banksy,ARI_CellCharter,ARI_CN,ARI_MENDER,ARI_NicheCompass,ARI_PRECAST,NMI_Banksy,NMI_CellCharter,NMI_CN,NMI_MENDER,NMI_NicheCompass,NMI_PRECAST
ncluster:4,0.199358098583913,0.295729764181007,0.247950240316652,0.186116755450601,0.276222787673169,-0.00351467322164004,0.199112641726328,0.368799211777803,0.327190469235402,0.250147879215557,0.328943064886097,0.0905827525001499
ncluster:5,0.14906444458799,0.213944663372323,0.247950240316652,0.572654775674195,0.476318029859424,0.0083452862172382,0.183225038803983,0.314756318306253,0.327190469235402,0.527578822669235,0.448326560435284,0.102495241811771
ncluster:6,0.0866704988184198,0.255263543038742,0.189722063219487,0.473050858192412,-0.0260121184053106,0.0189102356771676,0.142527950391533,0.354065911716352,0.361379528545368,0.415582204746898,0.0220439101068175,0.108360863469014
ncluster:7,0.222907828769765,0.265400400090742,0.397561662227419,0.449744316961024,0.3563442300278,-0.019543355891468,0.240425943393305,0.358455319246307,0.415634725791587,0.435127339358428,0.362371887148986,0.055462610534438
ncluster:8,0.240013908810362,0.029708367402562,0.397561662227419,0.427447459004126,0.3563442300278,-0.00566601852432622,0.240478887233143,0.149727677366493,0.415634725791587,0.420711607535435,0.362371887148986,0.086683988735183
ncluster:9,0.169400313029309,0.184969786961991,0.434575716469651,0.368294308628438,0.502736576532585,0.0195952043315715,0.211300678069606,0.271990911421898,0.434903006851105,0.373344518407064,0.513989815729097,0.0715273166379649
ncluster:10,0.228250306333714,0.101366312037587,0.397561662227419,0.32164650581107,0.109226952950266,-0.0277670651754724,0.244885066776947,0.23340535113984,0.415634725791587,0.427062322983834,0.212881863047431,0.0282678267258378
Mean,0.185095056990496,0.192340405297851,0.330411892429243,0.399850711388838,0.293025812666533,-0.00137719808384705,0.208850886627835,0.293028671567849,0.385366807320291,0.407079242130922,0.321561284071814,0.0776258000591941
SD,0.0543807863828295,0.095945278682408,0.0981247956871855,0.123331779310776,0.192112228165193,0.0182361613651149,0.0375322696947049,0.0803659950246381,0.0457286159471874,0.0833964369735871,0.162278336140617,0.0282184179100077
CV,0.29379923627902,0.498830594298848,0.296977191001679,0.308444566429297,0.655615375372471,-13.2414948720914,0.179708452766045,0.274259834693445,0.118662570513451,0.204865363650171,0.504657569735216,0.363518545232249
