ARI_Banksy,ARI_CellCharter,ARI_CN,ARI_MENDER,ARI_NicheCompass,NMI_Banksy,NMI_CellCharter,NMI_CN,NMI_MENDER,NMI_NicheCompass
ncluster:4,0.107406937930452,0.20391573409233,0.116534688571091,0.0612919157342597,0.21489163041103,0.165050974598039,0.291601770734705,0.223619218148217,0.125330892099198,0.267224034642912
ncluster:6,0.107406937930452,0.0343110682808327,0.116534688571091,0.204659097593976,0.0730042517493184,0.165050974598039,0.0918737163535322,0.223619218148217,0.221052550883048,0.136145731994103
ncluster:8,0.120149542348846,0.0347247058022105,0.143031953737146,0.109299343553233,0.261378310189324,0.166285952725439,0.106974201919829,0.266893122651782,0.128377981084101,0.267247794149492
ncluster:10,0.235863679368722,0.0875820925452449,0.116534688571091,0.109299343553233,0.173915308088963,0.276731406279872,0.126042374506335,0.223619218148217,0.128377981084101,0.2099873112836
ncluster:12,0.222907828769765,0.0284325549099148,0.11092447057412,0.183486952125384,0.00238230767609048,0.240425943393305,0.124931037239447,0.241341904212561,0.166456383512453,0.0586990226852768
ncluster:14,0.144199744472596,0.103305565872553,0.128142505475761,0.134445498335472,0.0700904561001441,0.190710547874142,0.214249018728254,0.206854000859968,0.128673411347985,0.119509697965091
ncluster:15,0.10289395480564,0.0509774808215788,0.128142505475761,0.134445498335472,0.152122712724198,0.17838740322393,0.177187799449278,0.206854000859968,0.128673411347985,0.226509066420047
ncluster:16,0.106203448096255,0.135375411507161,0.218877610547194,0.0861661815585699,0.122576216896414,0.176710409486912,0.161445618626308,0.312755408694575,0.085268868701796,0.18138766457374
ncluster:18,0.0742436265234287,0.135375411507161,0.338107913973043,0.0505062632568935,0.0379344370134853,0.1424495896468,0.161445618626308,0.355280175863006,0.162715884814889,0.121834743846738
ncluster:20,0.152122712724198,0.169401184089449,0.116894358511159,0.0909281242803007,0.292339258421791,0.226509066420047,0.196983974184441,0.199053475797398,0.146691019920551,0.335111459221865
ncluster:22,0.0630762861766588,0.116143543604948,0.0812391253654774,0.0909281242803007,0.0785519850107823,0.0889708866639263,0.143884221173958,0.13171014801552,0.146691019920551,0.136300759644645
ncluster:24,0.0939917527178543,0.102717513830359,0.131741526131241,0.0909281242803007,-0.0163744789485231,0.150764832048953,0.140017093823705,0.201235543198814,0.146691019920551,0.0293183094967128
ncluster:25,0.29276382316062,0.0939917527178543,0.065719784056268,0.0909281242803007,0.0719168385713709,0.315634886508203,0.150764832048953,0.0954776399548263,0.146691019920551,0.13346728441942
ncluster:26,0.0875820925452449,0.152083996181992,0.120501303166417,0.0909281242803007,0.116894358511159,0.126042374506335,0.192406716305238,0.178794268804171,0.146691019920551,0.170881603862095
ncluster:28,0.106203448096255,0.070202703831821,0.120501303166417,0.0909281242803007,0.0690339696851636,0.176710409486912,0.119986176189194,0.178794268804171,0.146691019920551,0.105179248770742
ncluster:30,0.21495669147249,0.070202703831821,0.170712430845659,0.0909281242803007,0.135375411507161,0.274679744259633,0.119986176189194,0.219676785568159,0.146691019920551,0.161445618626308
ncluster:32,0.0812391253654774,0.070202703831821,0.116894358511159,0.0909281242803007,0.0690339696851636,0.13171014801552,0.119986176189194,0.199053475797398,0.146691019920551,0.105179248770742
ncluster:34,0.0812391253654774,0.070202703831821,0.131741526131241,0.0909281242803007,0.257707396224865,0.13171014801552,0.119986176189194,0.201235543198814,0.146691019920551,0.357266065708102
ncluster:35,0.250826890688095,0.135375411507161,0.120501303166417,0.0909281242803007,0.123551031947978,0.2930903178498,0.161445618626308,0.178794268804171,0.146691019920551,0.19912600208268
ncluster:36,0.0806929064795527,0.070202703831821,0.246105545223669,0.0909281242803007,-0.00320125506158708,0.153547871288966,0.119986176189194,0.344599559477959,0.146691019920551,0.0225611481105288
ncluster:38,0.0812391253654774,0.070202703831821,0.120501303166417,0.0909281242803007,-0.0365616491637495,0.13171014801552,0.119986176189194,0.178794268804171,0.146691019920551,0.0156050614604088
ncluster:40,0.124509491992788,0.070202703831821,0.254388660152809,0.0909281242803007,0.135375411507161,0.204019192182389,0.119986176189194,0.368152866709463,0.146691019920551,0.161445618626308
ncluster:42,0.0875820925452449,0.070202703831821,0.226519337016575,0.0909281242803007,-0.00769059069418229,0.126042374506335,0.119986176189194,0.336155174248502,0.146691019920551,0.0197582872193011
ncluster:44,0.0875820925452449,0.070202703831821,0.225484831904675,0.0909281242803007,0.135375411507161,0.126042374506335,0.119986176189194,0.339993341397946,0.146691019920551,0.161445618626308
ncluster:45,0.124509491992788,0.070202703831821,0.246105545223669,0.0909281242803007,0.0939917527178543,0.204019192182389,0.119986176189194,0.344599559477959,0.146691019920551,0.150764832048953
ncluster:46,0.0875820925452449,0.070202703831821,0.380912898356613,0.0909281242803007,0.0875820925452449,0.126042374506335,0.119986176189194,0.399862801417481,0.146691019920551,0.126042374506335
ncluster:48,0.0875820925452449,0.070202703831821,0.242610082178339,0.0909281242803007,0.135375411507161,0.126042374506335,0.119986176189194,0.35026464534804,0.146691019920551,0.161445618626308
ncluster:50,0.106203448096255,0.070202703831821,0.254388660152809,0.0909281242803007,0.0690339696851636,0.176710409486912,0.119986176189194,0.368152866709463,0.146691019920551,0.105179248770742
Mean,0.125455731523799,0.0891553063244437,0.171081960997262,0.100044087691865,0.104128783072004,0.178278654527959,0.14289549652879,0.252687027468605,0.145073455120215,0.151645302719982
SD,0.0606498887425121,0.0416785138695946,0.0783845199422966,0.0311344061804642,0.0836499910000245,0.0577289737389661,0.041358625417776,0.0825205393310437,0.0207746102840297,0.0864080645288015
CV,0.483436571656408,0.467482145346716,0.458169403047415,0.311206857884076,0.803332071423341,0.323813155825184,0.289432672284695,0.326572124250805,0.143200630789519,0.569803765622445
